# initial_x = 0.1
x,y
0.100395,0.0789403
1.67005,2.1132
0.792596,1.3564
0.89002,-0.864858
0.839688,-2.45996
1.32835,1.92632
1.23963,-2.05157
1.41827,0.903728
1.65687,0.746779
1.57282,-0.571242
1.58071,0.550529
1.52997,-1.65666
1.28844,-0.798501
1.49586,1.79889
1.49107,-1.40369
1.29954,0.467077
1.55378,1.27306
1.47185,-1.69238
1.2883,0.622753
1.55709,1.53882
1.5332,-1.14038
1.27034,-0.456958
1.49592,2.16914
1.35178,-1.34493
1.42478,0.297085
1.37222,-0.593299
1.43548,-0.169826
1.34244,-0.214144
1.50068,0.0407125
1.37669,-0.681239
1.43393,-0.0760811
1.34128,-0.285085
1.50151,0.125513
1.39876,-0.696675
1.3976,-0.0513525
1.37967,-0.366334
1.4214,-0.235775
1.35786,-0.221236
1.4593,-0.188441
1.32763,-0.145751
1.52523,0.398698
1.62699,0.971235
1.57602,-0.795268
1.57481,0.380295
1.6064,-1.15543
1.61149,0.448014
1.5431,-1.46225
1.3048,-0.806816
1.52788,1.24241
1.39983,-1.97942
1.27115,1.39169
1.28171,-2.44949
1.19559,1.83944
1.08689,-2.00809
1.44636,1.91676
1.44264,-1.62637
1.30555,1.07818
1.66306,-0.726091
1.60554,0.0582998
1.60845,-1.06777
1.62178,0.52691
1.55874,-1.30279
1.452,-0.657126
1.35492,0.297701
1.47505,-0.304668
1.31847,-0.0753094
1.53884,0.607743
1.59434,-1.33355
1.59605,0.439074
1.54556,-1.54064
1.36892,-0.887581
1.43167,0.00240496
1.34152,-0.343059
1.50382,0.0691915
1.43688,-0.614967
1.36368,0.14555
1.44641,-0.339
1.34688,0.00302368
1.48197,-0.178764
1.30966,-0.294133


# initial_x = 0.15
x,y
0.150392,0.0783213
1.78142,-0.115929
1.00553,1.39402
0.92578,-1.72077
1.73448,0.624097
1.12133,0.0992347
1.57383,-1.9045
1.43032,-0.836755
1.37426,0.313032
1.43832,-0.470422
1.35408,0.0591687
1.46384,-0.259276
1.3263,-0.104712
1.52717,0.371718
1.63061,0.923033
1.57541,-0.807869
1.5794,0.425584
1.5661,-1.47163
1.52893,-0.263704
1.31839,-0.670465
1.53286,0.888132
1.44331,-2.02609
1.27954,0.800696
1.62512,1.31079
1.49741,-0.914441
1.31464,0.401051
1.55695,0.638572
1.50551,-1.8108
1.24667,-0.372859
1.52919,2.18017
1.2016,-1.17083
1.56309,2.19512
1.08783,-0.355478
1.39951,-2.61758
1.24232,0.20445
1.55569,1.91299
1.37991,-1.26448
1.40681,0.330665
1.41503,-0.543994
1.37917,-0.037811
1.4108,-0.349865
1.37791,-0.15009
1.41462,-0.345831
1.36941,-0.137109
1.43426,-0.293415
1.3509,-0.119601
1.4746,-0.136304
1.31438,-0.23549
1.54356,0.79521
1.45994,-1.97773
1.27769,0.472091
1.54305,1.66534
1.53459,-1.06687
1.26693,-0.386946
1.49341,2.17182
1.37715,-1.30263
1.40781,0.364178
1.42566,-0.525161
1.37024,0.0242155
1.42511,-0.411897
1.36129,-0.0605934
1.44874,-0.29489
1.33941,-0.0417085
1.50261,0.037127
1.35965,-0.723694
1.45767,-0.000859139
1.32331,-0.328512
1.53626,0.59707
1.60074,-1.26685
1.59482,0.359367
1.54911,-1.54525
1.44294,-0.721254
1.3621,0.278708
1.45954,-0.398609
1.33329,0.0186309
